depth	min.95	max.95	median	mean
0	-76	-38	-66	-64
1	-71	-24	-54	-53
2	-69	-4	-44	-42
3	-66	23	-35	-31
4	-65	50	-26	-20
5	-63	76	-16	-9
6	-54	85	-3	3
7	-49	99	11	15
8	-44	119	24	27
9	-41	143	36	39
10	-38	170	47	51
11	-24	181	58	63
12	-16	193	70	74
13	-11	208	83	86
14	-4	222	95	98
15	-1	239	106	109
16	17	246	115	120
17	34	252	124	130
18	46	260	134	141
19	54	269	144	151
20	62	279	154	162
21	92	282	162	174
22	122	286	171	185
23	143	293	181	197
24	151	307	194	208
25	155	328	207	220
26	168	335	221	233
27	176	344	236	245
28	181	355	252	258
29	185	370	266	271
30	190	389	281	284
31	208	393	290	294
32	219	400	302	305
33	228	408	315	316
34	235	417	326	326
35	240	429	338	337
36	259	435	348	348
37	274	442	358	358
38	283	449	370	369
39	291	458	382	380
40	298	472	393	391
41	313	475	402	400
42	324	478	411	409
43	335	483	420	418
44	342	489	430	427
45	348	499	439	436
46	365	503	447	444
47	380	507	456	453
48	391	513	465	462
49	400	519	474	471
50	408	528	484	480
51	428	531	491	488
52	446	535	498	496
53	461	538	505	504
54	475	543	512	512
55	483	550	520	520
56	489	557	527	527
57	496	567	533	533
58	501	581	539	540
59	505	596	545	547
60	509	612	550	553
61	515	617	557	560
62	521	624	564	566
63	525	631	571	573
64	528	642	578	579
65	531	655	584	586
66	537	659	591	592
67	542	664	597	598
68	546	669	603	604
69	549	677	609	611
70	553	687	615	617
71	562	691	622	623
72	569	696	629	630
73	574	702	636	636
74	578	708	642	643
75	582	719	649	649
76	594	724	655	656
77	605	731	662	663
78	612	737	668	670
79	619	745	676	677
80	624	755	683	684
81	644	759	691	692
82	659	764	699	701
83	671	773	708	709
84	676	784	716	718
85	680	796	724	726
86	691	804	735	737
87	697	816	747	749
88	702	833	757	760
89	706	855	767	771
90	708	878	777	783
91	722	884	791	794
92	731	889	804	806
93	739	897	818	818
94	745	908	832	830
95	749	923	844	841
96	770	927	856	853
97	784	932	868	865
98	796	937	880	877
99	804	943	894	889
100	812	951	907	901
101	831	958	921	917
102	844	987	937	934
103	853	1031	951	951
104	862	1075	964	968
105	867	1122	977	985
106	886	1136	999	1005
107	904	1155	1020	1025
108	920	1179	1040	1044
109	930	1210	1059	1064
110	939	1251	1077	1084
111	956	1263	1096	1101
112	967	1275	1116	1118
113	974	1292	1135	1135
114	984	1314	1154	1152
