depth	min.95	max.95	median	mean
0	-74	-36	-65	-62
1	-67	17	-40	-36
2	-63	90	-18	-10
3	-61	164	3	16
4	-58	240	24	42
5	-55	316	45	68
6	-37	348	74	95
7	-26	394	103	122
8	-17	427	129	149
9	-11	482	154	176
10	-4	546	180	203
11	21	567	208	229
12	38	587	237	256
13	55	617	266	282
14	64	639	293	308
15	72	666	321	334
16	114	686	348	362
17	136	703	379	389
18	153	726	410	417
19	166	749	441	445
20	177	786	469	472
21	217	803	500	503
22	244	823	533	534
23	265	850	564	565
24	285	883	598	595
25	304	923	630	626
26	345	941	657	654
27	376	959	687	681
28	404	974	716	709
29	426	1000	746	736
30	445	1029	775	764
31	487	1042	801	789
32	520	1058	824	814
33	545	1073	851	839
34	561	1095	877	864
35	578	1123	904	889
36	630	1131	934	918
37	670	1143	964	947
38	705	1158	995	976
39	726	1176	1027	1004
40	749	1206	1057	1033
41	828	1212	1082	1064
42	908	1221	1108	1094
43	977	1229	1134	1125
44	1032	1240	1159	1155
45	1066	1260	1188	1186
46	1089	1270	1204	1203
47	1108	1303	1218	1220
48	1125	1352	1232	1237
49	1139	1407	1245	1253
50	1149	1467	1257	1270
51	1498	1748	1588	1597
52	1844	2041	1920	1925
53	2178	2348	2250	2252
54	2497	2684	2573	2579
55	2797	3021	2900	2906
56	2815	3029	2919	2921
57	2831	3040	2936	2936
58	2841	3057	2954	2951
59	2853	3078	2970	2966
60	2861	3104	2982	2981
61	2871	3110	2992	2990
62	2882	3121	3000	2999
63	2889	3131	3009	3008
64	2895	3145	3018	3017
65	2901	3158	3027	3026
66	2912	3165	3037	3035
67	2922	3172	3045	3044
68	2928	3181	3054	3053
69	2933	3190	3064	3062
70	2938	3201	3072	3071
71	2952	3208	3081	3080
72	2962	3215	3090	3089
73	2971	3223	3099	3099
74	2979	3233	3108	3108
75	2984	3245	3117	3117
76	2994	3249	3125	3125
77	3006	3254	3134	3134
78	3013	3259	3142	3142
79	3021	3268	3150	3151
80	3027	3277	3159	3159
81	3042	3281	3169	3168
82	3052	3285	3178	3177
83	3062	3291	3189	3186
84	3071	3298	3198	3195
85	3078	3306	3207	3204
86	3093	3309	3218	3213
87	3105	3313	3229	3222
88	3117	3318	3242	3230
89	3127	3324	3254	3239
90	3136	3333	3264	3248
91	3157	3340	3285	3261
92	3172	3351	3304	3275
