"Core","Depth","Type","Age","Age_Err","Curve","cal_median","cal95_low","cal95_high","cal_mean","Calibrated_95_range","year_ce_median","year_ce_min95","year_ce_max95","label_median_cal"
"C2",23,"Plant/Wood",205,15,"IntCal20",174,0,294,178,"0–294",1776,1656,1950,"1776 CE"
"C2",37,"Sediment Organic carbon",1080,15,"Marine20 (ΔR=137±20)",400,290,500,394,"290–500",1550,1450,1660,"1550 CE"
"C2",46,"Sediment Organic carbon",1130,15,"Marine20 (ΔR=137±20)",440,320,530,434,"320–530",1510,1420,1630,"1510 CE"
"C2",55,"Sediment Organic carbon",1350,15,"Marine20 (ΔR=137±20)",610,520,710,611,"520–710",1340,1240,1430,"1340 CE"
"C2",55,"Plant/Wood",490,25,"IntCal20",521,504,541,521,"504–541",1429,1409,1446,"1429 CE"
"C2",83,"Sediment Organic carbon",1540,20,"Marine20 (ΔR=137±20)",790,680,900,788,"680–900",1160,1050,1270,"1160 CE"
"C2",83,"Plant/Wood",770,25,"IntCal20",692,672,724,696,"672–724",1258,1226,1278,"1258 CE"
"C2",101,"Sediment Organic carbon",1760,20,"Marine20 (ΔR=137±20)",1010,900,1150,1015,"900–1150",940,800,1050,"940 CE"
"C2",101,"Plant/Wood",1000,15,"IntCal20",922,829,955,915,"829–955",1028,995,1121,"1028 CE"
"C2",114,"Sediment Organic carbon",2030,15,"Marine20 (ΔR=137±20)",1290,1180,1390,1286,"1180–1390",660,560,770,"660 CE"
