Identifier_1,Identifier_2,Identifier_3,Subgroup,DepthCore_cm,d13C,d13C_dev,d18O,d18O_dev,Source,Mineralogy
C2,d2cm,ZC2A,C2,2,-1.82,0.02,0.57,0.01,This study,aragonite
C2,d9cm,ZC2A,C2,9,-6.46,0.09,0.93,0.13,This study,aragonite
C2,d13cm,ZC2A,C2,13,-5.68,0.01,0.68,0.03,This study,aragonite
C2,d19cm,ZC2A,C2,19,-4.66,0.02,0.29,0.01,This study,aragonite
C2,d22cm,ZC2A,C2,22,-5.84,0.01,0.36,0.02,This study,aragonite
C2,d24cm,ZC2A,C2,24,-5.92,0.06,0.35,0.18,This study,aragonite
C2,d26cm,ZC2A,C2,26,-7.02,0.1,0.36,0.12,This study,aragonite
C2,d28cm,ZC2A,C2,28,-7.86,0.02,0.53,0.01,This study,aragonite
C2,d29cm,ZC2A,C2,29,-7.03,0.04,0.27,0.08,This study,aragonite
C2,d31cm,ZC2B,C2,31,-7.02,0.01,0.5,0.03,This study,aragonite
C2,d33cm,ZC2B,C2,33,-3.91,0.08,0.57,0.07,This study,aragonite
C2,d35cm,ZC2B,C2,35,-3.85,0.04,0.72,0.02,This study,aragonite
C2,d37cm,ZC2B,C2,37,-6.53,0.05,1.32,0.15,This study,aragonite
C2,d39cm,ZC2B,C2,39,-6.64,0.01,0.26,0.01,This study,aragonite
C2,d40cm,ZC2B,C2,40,-7.75,0.01,0.81,0.01,This study,aragonite
C2,d43cm,ZC2B,C2,43,-8.08,0.01,1.3,0.02,This study,aragonite
C2,d46cm,ZC2B,C2,46,-7.08,0.01,0.19,0.03,This study,carbonate
C2,d47cm,ZC2B,C2,47,-8.86,0.02,0.82,0.03,This study,carbonate
C2,d50cm,ZC2C,C2,50,-9.05,0.01,1.15,0.01,This study,aragonite
C2,d52cm,ZC2C,C2,52,-7.48,0.01,0.89,0.03,This study,aragonite
C2,d54cm,ZC2C,C2,54,-8.26,0.01,1.16,0.01,This study,aragonite
C2,d56cm,ZC2C,C2,56,-9.21,0.02,0.62,0.02,This study,aragonite
C2,d58cm,ZC2C,C2,58,-8.84,0.02,1.81,0.02,This study,aragonite
C2,d60cm,ZC2C,C2,60,-8.17,0.01,0.6,0.01,This study,aragonite
C2,d61cm,ZC2D,C2,61,-7.99,0.02,0.84,0.01,This study,aragonite
C2,d62cm,ZC2D,C2,62,-8.13,0.01,0.27,0.01,This study,aragonite
C2,d63cm,ZC2D,C2,63,-8.46,0.02,1.21,0.01,This study,aragonite
C2,d65cm,ZC2D,C2,65,-8.94,0.01,1.03,0.01,This study,aragonite
C2,d67cm,ZC2D,C2,67,-6.09,0.01,0.03,0.01,This study,aragonite
C2,d69cm,ZC2D,C2,69,-8.37,0.02,0.7,0.01,This study,aragonite
C2,d71cm,ZC2D,C2,71,-8.98,0.01,0.77,0.02,This study,aragonite
C2,d72cm,ZC2D,C2,72,-9.71,0.03,0.45,0.02,This study,aragonite
C2,d73cm,ZC2D,C2,73,-10.06,0.01,1.03,0.02,This study,aragonite
C2,d77cm,ZC2D,C2,77,-8.15,0.02,0.47,0.01,This study,aragonite
C2,d79cm,ZC2D,C2,79,-6.95,0.02,0.85,0.01,This study,aragonite
C2,d81cm,ZC2D,C2,81,-10.33,0.01,1.01,0.01,This study,aragonite
