Identifier_1,Identifier_2,Identifier_3,Identifier_4,Identifier_5,DepthCore_cm,d15N,d13C_org,perc_N,perc_C,TOC_TN
C3,SedimentCore,Pilot,Sediment,ZC3A,2,6.61,-16.26,0.49,3.09,6.31
C3,SedimentCore,Jan24_run,Sediment,ZC3A,7,5.02,-14.93,0.29,1.8,6.21
C3,SedimentCore,Jan24_run,Sediment,ZC3A,14,8.12,-13.9,0.03,0.24,8.18
C3,SedimentCore,Jan24_run,Sediment,ZC3B,22,5.71,-14.77,0.1,0.5,7.5
C3,SedimentCore,Jan24_run,Sediment,ZC3B,27,5.96,-14.97,0.2,1.5,5.9
C3,SedimentCore,May5_run,Sediment,ZC3B,31,5.38,-15.42,0.82,5.1,6.23
C3,SedimentCore,Jan24_run,Sediment,ZC3B,34,6.11,-15.13,0.8477,6.3,7.43
C3,SedimentCore,Jan24_run,Sediment,ZC3C,40,3.83,-20.67,2.9098,29.8,10.24
C3,SedimentCore,Jan24_run,Sediment,ZC3C,42,5.96,-18.03,2.3097,22.1,9.57
C3,SedimentCore,Pilot,Sediment,ZC3C,44,5.62,-19.25,2.79,24.5,8.78
C3,SedimentCore,Jan24_run,Sediment,ZC3C,45,4.35,-18.45,2.9746,27.3,9.18
C3,SedimentCore,Apr18_run,Sediment,ZC3C,52,5.52,-18.97,2.5,25.2,10.08
C3,SedimentCore,Apr18_run,Mangrove,ZC3D,55,2.82,-24.17,0.9,55.7,59.4
C3,SedimentCore,Apr18_run,Mangrove,ZC3D,60,5.37,-25.11,0.8,52,67.5
C3,SedimentCore,Apr18_run,Mangrove,ZC3D,67,3.37,-25,1.2,55.4,47.1
C3,SedimentCore,Jan24_run,Mangrove,ZC3D,71,2.11,-24.56,1.1,45.9,43.5
C3,SedimentCore,Apr18_run,Mangrove,ZC3D,76,2.11,-24.56,1.1,45.9,41.73
C3,SedimentCore,Jan24_run,Mangrove,ZC3D,86,3.54,-23.74,1.1958,46.4,38.8
C3,SedimentCore,Apr18_run,Mangrove,ZC3D,91,3.25,-25.02,1.2,51,42.5
C2,SedimentCore,Jan24_run,Sediment,ZC2A,2,11.26,-13.51,0.08,0.57,7.21
C2,SedimentCore,Pilot,Sediment,ZC2A,15,10.2,-11.55,0.05,0.33,6.08
C2,SedimentCore,May3_run,Sediment,ZC2A,22,9.57,-13.73,2.17,13.1,6.03
C2,SedimentCore,May3_run,Sediment,ZC2B,26,7.82,-14.34,0.84,5.75,6.85
C2,SedimentCore,Apr18_run,Sediment,ZC2B,28,7.63,-13.8,0.97,5.17,5.31
C2,SedimentCore,May3_run,Sediment,ZC2B,29,8.42,-13.44,0.17,1.02,5.9
