"Sample","Mineral_Type","mol_perc_MgCo3_calc_eq","mol_percentage_MgCO3","mol_percentage_CaCO3","Mineral_Phase","Max_tth_in_range","dSpacing"
"C2 112 cm","Calcite","Arvidson & Mackenzie, 1999",11.52,88.48,"Intermediate Mg-Calcite",29.725082260372,3.00302992688315
"C2 112 cm","Calcite","Lumsden and Chimahusky, 1980",10.99,89.01,"Intermediate Mg-Calcite",29.725082260372,3.00302992688315
"C2 103 cm","Calcite","Arvidson & Mackenzie, 1999",9.72,90.28,"Intermediate Mg-Calcite",29.6752324749642,3.0079609901905
"C2 103 cm","Calcite","Lumsden and Chimahusky, 1980",9.35,90.65,"Intermediate Mg-Calcite",29.6752324749642,3.0079609901905
"Calcite Standard","Calcite","Arvidson & Mackenzie, 1999",1.52,98.48,"Low Mg-Calcite",29.4496087596683,3.03049058170467
"Calcite Standard","Calcite","Lumsden and Chimahusky, 1980",1.84,98.16,"Low Mg-Calcite",29.4496087596683,3.03049058170467
"High Mg Calcite Standard","Calcite","Arvidson & Mackenzie, 1999",22.8,77.2,"High Mg-Calcite",30.0423593502534,2.97203345244051
"High Mg Calcite Standard","Calcite","Lumsden and Chimahusky, 1980",21.32,78.68,"High Mg-Calcite",30.0423593502534,2.97203345244051
"C3 39 cm","Calcite","Arvidson & Mackenzie, 1999",20.69,79.31,"High Mg-Calcite",29.9826394849785,2.97781708050897
"C3 39 cm","Calcite","Lumsden and Chimahusky, 1980",19.39,80.61,"High Mg-Calcite",29.9826394849785,2.97781708050897
"C3 42 cm","Calcite","Arvidson & Mackenzie, 1999",11.82,88.18,"Intermediate Mg-Calcite",29.7333905579399,3.00220970959185
"C3 42 cm","Calcite","Lumsden and Chimahusky, 1980",11.26,88.74,"Intermediate Mg-Calcite",29.7333905579399,3.00220970959185
"C3 44 cm","Calcite","Arvidson & Mackenzie, 1999",18.93,81.07,"High Mg-Calcite",29.9327896995708,2.98266271765497
"C3 44 cm","Calcite","Lumsden and Chimahusky, 1980",17.78,82.22,"High Mg-Calcite",29.9327896995708,2.98266271765497
"C3 47 cm","Calcite","Arvidson & Mackenzie, 1999",16.27,83.73,"High Mg-Calcite",29.8580150214592,2.9899618778561
"C3 47 cm","Calcite","Lumsden and Chimahusky, 1980",15.35,84.65,"High Mg-Calcite",29.8580150214592,2.9899618778561
"C3 49 cm","Calcite","Arvidson & Mackenzie, 1999",21.57,78.43,"High Mg-Calcite",30.0075643776824,2.97540037223936
"C3 49 cm","Calcite","Lumsden and Chimahusky, 1980",20.2,79.8,"High Mg-Calcite",30.0075643776824,2.97540037223936
"C3 52 cm","Calcite","Arvidson & Mackenzie, 1999",17.16,82.84,"High Mg-Calcite",29.8829399141631,2.98752471687116
"C3 52 cm","Calcite","Lumsden and Chimahusky, 1980",16.16,83.84,"High Mg-Calcite",29.8829399141631,2.98752471687116
"Calcite Standard","Calcite","Arvidson & Mackenzie, 1999",1.52,98.48,"Low Mg-Calcite",29.4496087596683,3.03049058170467
"Calcite Standard","Calcite","Lumsden and Chimahusky, 1980",1.84,98.16,"Low Mg-Calcite",29.4496087596683,3.03049058170467
"High Mg Calcite Standard","Calcite","Arvidson & Mackenzie, 1999",22.8,77.2,"High Mg-Calcite",30.0423593502534,2.97203345244051
"High Mg Calcite Standard","Calcite","Lumsden and Chimahusky, 1980",21.32,78.68,"High Mg-Calcite",30.0423593502534,2.97203345244051
"C3 39 cm","Dolomite","Arvidson & Mackenzie, 1999",50.62,49.38,"Mg-Dolomite",30.8550107296137,2.89558362907651
"C3 39 cm","Dolomite","Lumsden and Chimahusky, 1980",46.81,53.19,"Ca-dolomite",30.8550107296137,2.89558362907651
"C3 42 cm","Dolomite","Arvidson & Mackenzie, 1999",58.04,41.96,"Mg-Dolomite",31.0793347639485,2.8751933739768
"C3 42 cm","Dolomite","Lumsden and Chimahusky, 1980",53.6,46.4,"Mg-Dolomite",31.0793347639485,2.8751933739768
"C3 44 cm","Dolomite","Arvidson & Mackenzie, 1999",50.62,49.38,"Mg-Dolomite",30.8550107296137,2.89558362907651
"C3 44 cm","Dolomite","Lumsden and Chimahusky, 1980",46.81,53.19,"Ca-dolomite",30.8550107296137,2.89558362907651
"C3 47 cm","Dolomite","Arvidson & Mackenzie, 1999",51.45,48.55,"Mg-Dolomite",30.8799356223176,2.89330322606678
"C3 47 cm","Dolomite","Lumsden and Chimahusky, 1980",47.57,52.43,"Ca-dolomite",30.8799356223176,2.89330322606678
"C3 49 cm","Dolomite","Arvidson & Mackenzie, 1999",42.25,57.75,"Very High Mg-Calcite",30.6057618025751,2.91859457347099
"C3 49 cm","Dolomite","Lumsden and Chimahusky, 1980",39.13,60.87,"Very High Mg-Calcite",30.6057618025751,2.91859457347099
"C3 52 cm","Dolomite","Arvidson & Mackenzie, 1999",51.45,48.55,"Mg-Dolomite",30.8799356223176,2.89330322606678
"C3 52 cm","Dolomite","Lumsden and Chimahusky, 1980",47.57,52.43,"Ca-dolomite",30.8799356223176,2.89330322606678
"Calcite Standard","Dolomite","Arvidson & Mackenzie, 1999",42.36,57.64,"Very High Mg-Calcite",30.6091487769895,2.91827934048754
"Calcite Standard","Dolomite","Lumsden and Chimahusky, 1980",39.24,60.76,"Very High Mg-Calcite",30.6091487769895,2.91827934048754
"High Mg Calcite Standard","Dolomite","Arvidson & Mackenzie, 1999",42.36,57.64,"Very High Mg-Calcite",30.6091487769895,2.91827934048754
"High Mg Calcite Standard","Dolomite","Lumsden and Chimahusky, 1980",39.24,60.76,"Very High Mg-Calcite",30.6091487769895,2.91827934048754
